bus@query	从杭州到黄山的汽车。	o b-src i-src o b-dest i-dest o o o o
story@query	老故事	b-category i-category i-category
tvchannel@play	江苏教育台	b-name i-name i-name i-name i-name
poetry@query	给我朗诵一下岳飞的满江红。	o o o o o o b-author i-author o b-name i-name i-name o
music@play	给我来一首，相见恨晚的音乐。	o o o o o o b-song i-song i-song i-song o o o o
stock@query	查下李宁公司的股票	o o b-name i-name o o o o o
poetry@query	谁为含愁独不见	b-keyword i-keyword i-keyword i-keyword i-keyword i-keyword i-keyword
app@launch	开启qq	o o b-name i-name
novel@query	看乡村爱情	o b-name i-name i-name i-name
epg@query	现在中央一台在播什么节目？	b-datetime_time i-datetime_time b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o o o o
flight@query	上海到淮安的飞机	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
telephone@dial	给木九超打电话	o b-name i-name i-name o o o
telephone@dial	打电话给子明	o o o o b-name i-name
train@query	帮我查一下赣州到杭州的火车票	o o o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
flight@query	东营到济南的航班	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
video@query	推理动漫	b-tag i-tag b-category i-category
tvchannel@play	我要看云南二台	o o o b-name i-name i-name i-name
video@query	我想看变形金刚哦	o o o b-name i-name i-name i-name o
video@query	我想看大武当电影	o o o b-name i-name i-name b-category i-category
riddle@query	给我打个谜语，啊！	o o o o b-category i-category o o o
train@query	查询安阳到郑州的动车	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o b-category i-category
music@play	随便给我放几首歌	o o o o o o o o
telephone@dial	呼叫晚欲强	o o b-name i-name i-name
video@query	虎胆龙威	b-name i-name i-name i-name
video@query	搜幕府风云	o b-name i-name i-name i-name
poetry@query	给我背一首唐诗李白写的	o o o o o b-dynasty o b-author i-author o o
poetry@query	朗诵李白的静夜思。	o o b-author i-author o b-name i-name i-name o
map@route	查询北京到上海的路线	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
cookbook@query	板栗如何烧？	b-ingredient i-ingredient o o o o
match@query	中超a组比赛结果分别是多少	b-category i-category o o o o b-type i-type o o o o o
video@query	现在有什么好看的电视剧？	o o o o o b-scoredescr i-scoredescr o b-category i-category i-category o
website@open	帮我链接到新浪网	o o o o o b-name i-name i-name
match@query	中超比赛时间，我。	b-category i-category o o o o o o o
app@query	帮我找到微信	o o o o b-name i-name
poetry@query	何以解忧的下一句是什么？	b-keyword i-keyword i-keyword i-keyword o b-queryfield i-queryfield i-queryfield o o o o
music@play	歌曲白天不懂夜的黑	o o b-song i-song i-song i-song i-song i-song i-song
flight@query	帮我查一下明天南昌到广州的飞机票	o o o o o b-startdate_date i-startdate_date b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
poetry@query	背首宋词。	o o b-dynasty o o
poetry@query	唐寅的诗。	b-author i-author o o o
music@play	点播爱情买卖	o o b-song i-song i-song i-song
train@query	查询昆明到合肥的火车	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
website@open	中华军事网	b-name i-name i-name i-name i-name
message@send	发短信给刘文说明天下午五点有聚会	o o o o b-name i-name o b-content i-content i-content i-content i-content i-content i-content i-content i-content
cookbook@query	红烧土豆怎么烧？	b-dishname i-dishname i-dishname i-dishname o o o o
cookbook@query	炒鸡蛋，需要，哪些材料？	b-dishname i-dishname i-dishname o o o o o o o o o
cookbook@query	如何做西红柿炒蛋。	o o o b-dishname i-dishname i-dishname i-dishname i-dishname o
map@position	云浮在哪里	b-location_city i-location_city o o o
flight@query	后天去武汉的航班	b-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o
tvchannel@play	科教频道	b-category i-category o o
video@query	英雄本色电影	b-name i-name i-name i-name b-category i-category
stock@query	查询重庆水务股票	o o b-name i-name i-name i-name o o
stock@query	查询大北农的股票	o o b-name i-name i-name o o o
cinemas@query	现在最好看的电影。	b-datetime_date i-datetime_date o o o o o o o
website@open	中国新闻网网站	b-name i-name i-name i-name i-name o o
cookbook@query	鱼的做法	b-ingredient o o o
cookbook@query	白灼菜心怎么做？	b-dishname i-dishname i-dishname i-dishname o o o o
video@query	看上周五的爸爸我去哪儿	o b-datetime_date i-datetime_date i-datetime_date o b-name i-name i-name i-name i-name i-name
telephone@dial	打电话给大培	o o o o b-name i-name
cookbook@query	酸菜鱼怎么烧的？	b-dishname i-dishname i-dishname o o o o o
cookbook@query	清蒸武昌鱼。	b-dishname i-dishname i-dishname i-dishname i-dishname o
cookbook@query	狗肉怎么做？	b-ingredient i-ingredient o o o o
poetry@query	来一首白居易的长恨歌	o o o b-author i-author i-author o b-name i-name i-name
music@play	随便来首刘德华的歌。	o o o o b-artist i-artist i-artist o o o
message@send	发送短信给老婆我在三号楼三零幺刚才那个教室关门了	o o o o o b-name i-name b-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content
stock@query	查询科大讯飞的股价	o o b-name i-name i-name i-name o o o
cookbook@query	干锅鱼怎么做	b-dishname i-dishname i-dishname o o o
train@query	查一下苏州到洛阳的火车票	o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
cookbook@query	怎么样？做红烧肉。	o o o o o b-dishname i-dishname i-dishname o
health@query	淋病怎么办	b-keyword i-keyword o o o
map@route	导航到山东省菏泽市王浩屯镇	o o o b-endloc_province i-endloc_province i-endloc_province b-endloc_city i-endloc_city i-endloc_city b-endloc_area i-endloc_area i-endloc_area i-endloc_area
health@query	如何治疗龟头炎。	o o o o b-keyword i-keyword i-keyword o
music@play	我想听你最珍贵这首音乐	o o o b-song i-song i-song i-song o o o o
cookbook@query	嗯咯鸡爪怎么做的。	o o b-ingredient i-ingredient o o o o o
poetry@query	家，背首沁园春雪。	o o o o b-name i-name i-name i-name o
cookbook@query	福寿鱼做法。	b-ingredient i-ingredient i-ingredient o o o
poetry@query	搜索蜀道难。	o o b-name i-name i-name o
message@send	给茵茵发短信	o b-name i-name o o o
health@query	内分泌失调了怎么调理？	b-keyword i-keyword i-keyword i-keyword i-keyword o o o o o o
train@query	帮我查一下广州到深圳的火车	o o o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
cookbook@query	来做烧卖。	o o b-dishname i-dishname o
health@query	狐臭怎么治？	b-keyword i-keyword o o o o
cookbook@query	四川美食。	b-keyword i-keyword i-keyword i-keyword o
match@query	帮我搜一下中超3月份的对阵情况	o o o o o b-category i-category b-datetime_date i-datetime_date i-datetime_date o o o o o
poetry@query	雄关漫道真如铁下一句是什么？	b-keyword i-keyword i-keyword i-keyword i-keyword i-keyword i-keyword b-queryfield i-queryfield i-queryfield o o o o
map@position	河北在哪里	b-location_province i-location_province o o o
stock@query	查寻上海能源的股票	o o b-name i-name i-name i-name o o o
riddle@query	搞笑谜语。	b-category i-category i-category i-category o
novel@query	我要看免费的小说。	o o o o o o o o o
video@query	热血动漫	b-tag i-tag b-category i-category
video@query	三女休夫	b-name i-name i-name i-name
message@send	发短信给姐姐说晚上一起吃面条	o o o o b-name i-name o b-content i-content i-content i-content i-content i-content i-content
video@query	来一个选秀节目	o o o b-tag i-tag b-category i-category
website@open	打开杜鑫文的网站	o o b-name i-name i-name i-name i-name i-name
tvchannel@play	中国教育电视台三台	b-name i-name i-name i-name i-name i-name i-name i-name i-name
novel@query	玄幻小说《武动乾坤》	b-category i-category o o o b-name i-name i-name i-name o
cookbook@query	红烧鱼块。	b-dishname i-dishname i-dishname i-dishname o
epg@query	财经频道今天有什么节目	b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_date i-datetime_date o o o o o
message@send	给杨斌发短信	o b-name i-name o o o
lottery@number_query	帮我查一下2013年2月8日开奖的15选5中奖号码	o o o o o b-datetime_date i-datetime_date i-datetime_date i-datetime_date i-datetime_date i-datetime_date i-datetime_date i-datetime_date i-datetime_date o o o b-name i-name i-name i-name o o o o
video@query	共同关注	b-name i-name i-name i-name
train@query	帮我查一下明天去郑州的火车票	o o o o o b-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o o
music@play	唱一首两只蝴蝶。	o o o b-song i-song i-song i-song o
video@query	我想看爱在春天	o o o b-name i-name i-name i-name
train@query	查一下到洛阳的高铁	o o o o b-endloc_city i-endloc_city o b-category i-category
cookbook@query	可乐鸡翅是怎么做的	b-dishname i-dishname i-dishname i-dishname o o o o o
